,序号,字典项,字典项名称,产品范围
,,011,兴业银行,
,,012,华夏银行,
,,017,上海银行,
,,932,中信银行,
,,934,邮政储蓄银行,
,,020,河北银行,
,,025,天津银行,
,,026,浙江省农村信用社,
,,904,南京银行,
,,911,杭州银行,
,,922,北京银行,
,,940,重庆银行,
,,941,大连银行,
,,942,哈尔滨银行,
,,943,江苏银行,
,,946,青岛银行,
,,955,花旗银行,
,,048,湖北银行,
,,903,上海农村商业银行,
,,901,长沙银行,
,,905,金华银行,
,,957,东亚银行,
,,947,北京农村商业银行,
,7,1906,反洗钱风险等级,
,,0,黑名单等级,
,,1,高风险等级,
,,2,中风险等级,
,,3,低风险等级,
,8,2010,基金分红方式,
,,0,份额分红,
,,1,现金分红,
,9,2015,基金状态,
,,0,正常开放,
,,1,认购时期,
,,2,停止赎回,
,,3,停止申购,
,,4,封闭期,
,,5,停止交易,
,,6,基金终止,
,,7,权益登记,
,,8,红利发放,
,,9,发行失败,
,,a,非本机构代销,
,,b,发行成功,
,,z,转认购期,
,10,2018,职业,
,,1,政府部门,
,,2,教科文,
,,3,金融,
,,4,商贸,
,,5,房地产,
,,6,制造业,
,,7,自由职业,
,,8,其它,
,,09,事业单位,
,,10,国有企业,
,11,2022,基金类型,
,,0,普通型,
,,1,股票型,
,,2,货币型,
,,3,偏股型,
,,4,股债平衡型,
,,5,偏债型,
,,6,债券型,
,,7,保本型,
,,8,指数型,
,,9,短债型,
,,a,QDII,
,,b,混合基金,
,,c,券商理财,
,,d,牛熊宝,
,,e,现金产品,
,,f,一对多产品,
,,g,短期理财产品,
,,h,封闭式T+0,
,,i,保证金理财,
,,j,现金产品,
,,k,一对多产品,
,,l,短期理财产品,
,,m,ETF,
,,n,专户产品,
,,o,LOF,
,12,2029,基金风险等级,
,,0,默认等级,
,,1,保本等级,
,,2,低风险等级,
,,3,中风险等级,
,,4,中高风险等级,
,,5,高风险等级,
,13,2303,账单寄送方式,
,,1,不寄送,
,,2,按月寄送,
,,3,按季寄送,
,,4,按半年寄送,
,,5,按一年送,
,14,250063,账单寄送方式,
,,1,邮寄,
,,2,专人寄送,
,,3,传真,
,,4,电子邮件,
,,5,网上自取,
,15,41119,婚姻状况,
,,!,婚姻状况,
,,0,未婚,
,,1,已婚,
,,2,离异,
,,3,丧偶,
,,4,未知,
,16,769008,国籍,
,,004,阿富汗,
,,008,阿尔巴尼亚,
,,010,南极洲,
,,012,阿尔及利亚,
,,016,美属萨摩亚,
,,020,安道尔,
,,024,安哥拉,
,,028,安提瓜和巴布达,
,,031,阿塞疆,
,,032,阿根廷,
,,036,澳大利亚,
,,040,奥地利,
,,044,巴哈马,
,,048,巴林,
,,050,孟加拉国,
,,051,亚美尼亚,
,,052,巴巴多斯,
,,056,比利时,
,,060,百慕大,
,,064,不丹,
,,068,玻利维亚,
,,070,波斯尼亚和黑塞哥维那,
,,072,博茨瓦纳,
,,074,布维岛,
,,076,巴西,
,,084,伯利兹,
,,086,英属印度洋领土,
,,090,所罗门群岛,
,,092,英属维尔京群岛,
,,096,文莱,
,,100,保加利亚,
,,104,缅甸,
,,108,布隆迪,
,,112,白俄罗斯,
,,116,柬埔寨,
,,120,喀麦隆,
,,124,加拿大,
,,132,佛得角,
,,136,开曼群岛,
,,140,中非,
,,144,斯里兰卡,
,,148,乍得,
,,152,智利,
,,156,中国,
,,158,中国台湾,
,,162,圣诞岛,
,,166,科科斯（基林）群岛,
,,170,哥伦比亚,
,,174,科摩罗,
,,175,马约特,
,,180,扎伊尔,
,,184,库克群岛,
,,188,哥斯达黎加,
,,191,克罗地亚,
,,192,古巴,
,,196,塞浦路斯,
,,203,捷克,
,,204,贝宁,
,,208,丹麦,
,,212,多米尼克,
,,214,多米尼加共和国,
,,218,厄瓜多尔,
,,222,萨尔瓦多,
,,226,赤道几内亚,
,,231,埃塞俄比亚,
,,232,厄立特里亚,
,,233,爱沙尼亚,
,,234,法罗群岛,
,,238,马尔维纳斯群岛,
,,239,南乔治亚岛和南桑德,
,,242,斐汶,
,,246,芬兰,
,,250,法国,
,,254,法属圭亚那,
,,258,法属波利尼西亚,
,,260,法属南部领土,
,,262,吉布提,
,,266,加蓬,
,,268,格鲁吉亚,
,,270,冈比亚,
,,276,德国,
,,288,加纳,
,,292,直布罗陀,
,,296,基里巴斯,
,,300,希腊,
,,304,格陵兰,
,,308,格林纳达,
,,312,瓜德罗普,
,,316,关岛,
,,320,危地马拉,
,,324,几内亚,
,,328,圭亚那,
,,332,海地,
,,334,赫德岛和麦克唐纳岛,
,,336,梵蒂冈,
,,340,洪都拉斯,
,,344,香港,
,,348,匈牙利,
,,352,冰岛,
,,356,印度,
,,360,印度尼西亚,
,,364,伊朗,
,,368,伊拉克,
,,372,爱尔兰,
,,374,巴勒斯坦,
,,376,以色列,
,,380,意大利,
,,384,科特迪瓦,
,,388,牙买加,
,,392,日本,
,,398,哈萨克斯坦,
,,400,约旦,
,,404,肯尼亚,
,,408,朝鲜,
,,410,韩国,
,,414,科威特,
,,417,吉尔吉斯斯坦,
,,418,老挝,
,,422,黎巴嫩,
,,426,莱索托,
,,428,拉脱维亚,
,,430,利比里亚,
,,434,利比亚,
,,438,列支敦士登,
,,440,立陶宛,
,,442,卢森堡,
,,446,澳门,
,,450,马达加斯加,
,,454,马拉维,
,,458,马来西亚,
,,462,马尔代夫,
,,466,马里,
,,470,马耳他,
,,474,马提尼克,
,,478,毛里塔尼亚,
,,480,毛里求斯,
,,484,墨西哥,
,,492,摩纳哥,
,,496,蒙古,
,,498,摩尔多瓦,
,,500,蒙特塞拉特,
,,504,摩洛哥,
,,508,莫桑比克,
,,512,阿曼,
,,516,纳米比亚,
,,520,瑙鲁,
,,524,尼泊尔,
,,528,荷兰,
,,530,荷属安的列斯,
,,533,阿鲁巴,
,,540,新喀里多尼亚,
,,548,瓦努阿图,
,,554,新西兰,
,,570,纽埃,
,,574,诺福克岛,
,,578,挪威,
,,580,北马里亚纳,
,,581,美属太平洋各群岛,
,,583,密克罗尼西亚,
,,584,马绍尔群岛,
,,585,贝劳,
,,586,巴基斯坦,
,,591,巴拿马,
,,598,巴布亚新几内亚,
,,600,巴拉圭,
,,604,秘鲁,
,,608,菲律宾,
,,612,皮特凯恩群岛,
,,616,波兰,
,,620,葡萄牙,
,,624,几内亚比招,
,,626,东帝汶,
,,630,波多黎各,
,,634,卡塔尔,
,,638,留尼汪,
,,642,罗马尼亚,
,,643,俄罗斯,
